product_id,product_name,category,selling_price,cost_price,reorder_level,supplier
P001,UltraFast USB-C Cable 2m,Electronics,499.0,180.0,30,AnkerTech Logistics
P002,Compact Power Bank 10000mAh,Electronics,1499.0,750.0,20,VoltCorp Hardware
P003,Noise Cancelling Headphones,Electronics,4999.0,2800.0,15,AuraSound Ltd
P004,Bluetooth Travel Speaker,Electronics,2499.0,1200.0,18,AuraSound Ltd
P014,Wireless Ergonomic Mouse,Electronics,1299.0,600.0,25,LogiGear Supplies
P015,Mechanical Keyboard RGB,Electronics,3899.0,2100.0,12,LogiGear Supplies
P005,Whole Bean Dark Roast 500g,Beverages,650.0,320.0,25,BlueTokai Coffee Estates
P006,Organic Matcha Green Tea 100g,Beverages,850.0,450.0,20,Kyoto Pure Imports
P007,Sparkling Spring Water 500ml,Beverages,90.0,35.0,50,Himalayan Waters Co
P008,Organic Cold Brew 1L,Beverages,340.0,160.0,60,BlueTokai Coffee Estates
P016,Artisan Kombucha Ginger 330ml,Beverages,180.0,85.0,30,FermentCo Botanicals
P009,Roasted Almonds 250g,Grocery,399.0,240.0,30,NutriHarvest Farms
P010,Organic Wildflower Honey 500g,Grocery,520.0,290.0,25,BeeNatural Apiculture
P011,Quinoa Crunch Granola 400g,Grocery,450.0,230.0,25,NutriHarvest Farms
P012,Dark Chocolate 72% Single Origin,Grocery,280.0,130.0,40,CacaoCraft Confections
P017,Extra Virgin Olive Oil 500ml,Grocery,890.0,520.0,20,Mediterranean Gold
P013,Natural Charcoal Face Wash 150ml,Personal Care,350.0,150.0,30,EarthPure Labs
P018,Hydrating Sunscreen SPF 50 100ml,Personal Care,550.0,260.0,25,Dermacare Pharma
P020,Botanical Shampoo Bar 100g,Personal Care,299.0,120.0,20,EarthPure Labs
P021,Hand Sanitizer Spray 60ml,Personal Care,99.0,30.0,60,Dermacare Pharma
P022,Organic Lip Balm Mint 15g,Personal Care,160.0,60.0,35,EarthPure Labs
P019,Artisan Ceramic Mug 350ml,Home,450.0,180.0,25,ClayCraft Studios
P023,Aromatherapy Soy Candle Lavender,Home,599.0,240.0,20,Lumina Scents
P024,Stainless Steel Water Bottle 750ml,Home,799.0,380.0,25,HydroSteel Living
P025,Linen Hand Towel Set of 2,Home,699.0,310.0,20,ComfortFabrics Co
P026,Bamboo Desk Organizer,Home,899.0,410.0,15,EcoDesk Solutions
P027,Premium Fountain Pen Set,Stationery,1899.0,950.0,15,MontScribe Writing
P028,Hardcover Dotted Journal 200p,Stationery,499.0,200.0,30,PaperMill Goods
P029,Gel Ink Pens Pack of 5,Stationery,250.0,90.0,40,PaperMill Goods
P030,Desk Sticky Notes Pastel Pack,Stationery,149.0,45.0,50,OfficePrime Supplies
P031,Dual-Tip Pastel Highlighters (6pk),Stationery,320.0,120.0,30,OfficePrime Supplies
P032,Leather Cardholder Wallet,Stationery,850.0,380.0,20,MontScribe Writing
